[MAIN] Program just started!
[CUDA] GPU initialization took 259 ms!

NN,YUV422P,UYVY422,1280x720,4.066,0.976246,2.294,0.769,0,0.278672,0.697574, , , ,
NN,YUV422P,UYVY422,2560x1440,7.727,2.48249,3.684,1.181,0,1.19189,1.2906, , , ,
NN,YUV422P,UYVY422,3840x2160,15.137,5.29739,5.998,1.849,0,2.95925,2.33814, , , ,
NN,YUV422P,YUV422P,1024x576,1.154,0.631355,2.144,0.719,3.1e-05,0,0.631324, , , ,
NN,YUV422P,YUV422P,1280x720,3.018,0.676051,2.265,0.756,0,0,0.676051, , , ,
NN,YUV422P,YUV422P,2560x1440,3.6,1.252,3.687,1.189,8e-06,0,1.25199, , , ,
NN,YUV422P,YUV422P,3840x2160,6,2.30643,6.002,1.853,2.2e-05,1.9e-05,2.30639, , , ,
NN,YUV422P,YUV420P,1024x576,0.824,1.14664,1.652,0.58,0.63174,0,0.5149, , , ,
NN,YUV422P,YUV420P,1280x720,1.839,1.18951,1.787,0.644,0.629525,0,0.559983, , , ,
NN,YUV422P,YUV420P,2560x1440,4.806,1.75276,2.784,0.943,0.629128,0,1.12363, , , ,
NN,YUV422P,YUV420P,3840x2160,5.603,2.71162,4.49,1.422,0.668172,0,2.04345, , , ,
NN,YUV422P,NV12,1024x576,1.194,1.29037,1.651,0.581,0.636727,0.140337,0.513302, , , ,
NN,YUV422P,NV12,1280x720,2.401,1.42117,1.784,0.639,0.628322,0.211838,0.581005, , , ,
NN,YUV422P,NV12,2560x1440,7.043,2.73219,2.777,0.94,0.625477,0.955649,1.15106, , , ,
NN,YUV422P,NV12,3840x2160,10.499,5.10263,4.503,1.423,0.665841,2.40305,2.03374, , , ,
Lin,YUV422P,UYVY422,1024x576,4.143,0.816592,2.175,0.735,0,0.168872,0.64772, , , ,
Lin,YUV422P,UYVY422,1280x720,6.052,0.9658,2.291,0.767,0,0.274258,0.691542, , , ,
Lin,YUV422P,UYVY422,2560x1440,8.48,2.50284,3.676,1.173,0,1.2085,1.29434, , , ,
Lin,YUV422P,UYVY422,3840x2160,16.878,5.29277,5.987,1.836,0,2.9535,2.33927, , , ,
Lin,YUV422P,YUV422P,1024x576,1.664,0.627856,2.147,0.727,0,0,0.627856, , , ,
Lin,YUV422P,YUV422P,1280x720,2.14,0.673676,2.265,0.757,1.7e-05,9e-06,0.67365, , , ,
Lin,YUV422P,YUV422P,2560x1440,4.616,1.25543,3.677,1.18,0,0,1.25543, , , ,
Lin,YUV422P,YUV422P,3840x2160,8.166,2.31507,5.978,1.829,1e-05,9e-06,2.31505, , , ,
Lin,YUV422P,YUV420P,1024x576,1.635,1.15825,1.652,0.582,0.630119,0,0.528135, , , ,
Lin,YUV422P,YUV420P,1280x720,2.067,1.20289,1.786,0.64,0.630728,0,0.572165, , , ,
Lin,YUV422P,YUV420P,2560x1440,4.471,1.76329,2.781,0.942,0.6273,0,1.13599, , , ,
Lin,YUV422P,YUV420P,3840x2160,6.741,2.73732,4.479,1.413,0.672656,0,2.06466, , , ,
Lin,YUV422P,NV12,1024x576,2.877,1.28812,1.654,0.582,0.632012,0.136681,0.51943, , , ,
Lin,YUV422P,NV12,1280x720,3.585,1.41562,1.786,0.642,0.631743,0.222763,0.561111, , , ,
Lin,YUV422P,NV12,2560x1440,8.93,2.73509,2.782,0.945,0.62412,0.950812,1.16015, , , ,
Lin,YUV422P,NV12,3840x2160,11.622,5.05988,4.482,1.415,0.667982,2.3239,2.06799, , , ,
Cub,YUV422P,UYVY422,1024x576,6.917,0.87675,2.243,0.766,0,0.177554,0.699196, , , ,
Cub,YUV422P,UYVY422,1280x720,8.471,1.12398,2.28,0.762,0,0.265083,0.858897, , , ,
Cub,YUV422P,UYVY422,2560x1440,21.347,3.72584,3.685,1.182,0,1.19971,2.52612, , , ,
Cub,YUV422P,UYVY422,3840x2160,45.851,7.81195,5.995,1.836,0,2.93818,4.87376, , , ,
Cub,YUV422P,YUV422P,1024x576,2.565,0.68334,2.162,0.728,9e-06,0,0.683331, , , ,
Cub,YUV422P,YUV422P,1280x720,3.141,0.837877,2.269,0.759,1e-05,0,0.837867, , , ,
Cub,YUV422P,YUV422P,2560x1440,5.682,2.47649,3.723,1.206,0,0,2.47649, , , ,
Cub,YUV422P,YUV422P,3840x2160,10.652,4.84266,5.986,1.835,0,0,4.84266, , , ,
Cub,YUV422P,YUV420P,1024x576,2.535,1.26693,1.687,0.598,0.631307,0,0.635622, , , ,
Cub,YUV422P,YUV420P,1280x720,3.087,1.37606,1.783,0.642,0.628612,0,0.747451, , , ,
Cub,YUV422P,YUV420P,2560x1440,5.23,2.53351,2.783,0.939,0.631941,0,1.90157, , , ,
Cub,YUV422P,YUV420P,3840x2160,7.902,4.37662,4.458,1.399,0.671044,0,3.70557, , , ,
Cub,YUV422P,NV12,1024x576,4.852,1.3955,1.669,0.59,0.634382,0.142139,0.618981, , , ,
Cub,YUV422P,NV12,1280x720,5.867,1.59238,1.786,0.642,0.631933,0.225853,0.734593, , , ,
Cub,YUV422P,NV12,2560x1440,11.33,3.51369,2.778,0.946,0.628481,0.966974,1.91824, , , ,
Cub,YUV422P,NV12,3840x2160,12.846,6.74156,4.466,1.406,0.666213,2.36891,3.70644, , , ,
NN,YUV420P,UYVY422,1024x576,1.596,0.668833,1.653,0.582,0,0.14898,0.519853, , , ,
NN,YUV420P,UYVY422,1280x720,2.984,0.813834,1.779,0.64,0,0.240405,0.573429, , , ,
NN,YUV420P,UYVY422,2560x1440,7.018,2.28186,2.776,0.94,0,1.12086,1.161, , , ,
NN,YUV420P,UYVY422,3840x2160,14.067,4.8511,4.475,1.419,0,2.82885,2.02225, , , ,
NN,YUV420P,YUV422P,1024x576,0.943,0.672173,1.65,0.58,0,0.152834,0.519339, , , ,
NN,YUV420P,YUV422P,1280x720,1.969,0.809178,1.778,0.641,0,0.236056,0.573122, , , ,
NN,YUV420P,YUV422P,2560x1440,2.894,2.32154,2.788,0.945,0,1.15982,1.16172, , , ,
NN,YUV420P,YUV422P,3840x2160,4.989,4.91689,4.457,1.4,0,2.90106,2.01583, , , ,
NN,YUV420P,YUV420P,1024x576,0.853,0.49486,1.637,0.575,0,9e-06,0.494851, , , ,
NN,YUV420P,YUV420P,1280x720,2.252,0.556257,1.783,0.641,1.8e-05,0,0.556239, , , ,
NN,YUV420P,YUV420P,2560x1440,2.723,1.10999,2.763,0.93,0,8e-06,1.10998, , , ,
NN,YUV420P,YUV420P,3840x2160,4.516,1.9751,4.446,1.395,9e-06,0,1.97509, , , ,
NN,YUV420P,NV12,1024x576,1.217,0.641618,1.651,0.581,0,0.128647,0.512971, , , ,
NN,YUV420P,NV12,1280x720,2.827,0.776817,1.794,0.647,0,0.217374,0.559443, , , ,
NN,YUV420P,NV12,2560x1440,4.945,2.02579,2.772,0.941,0,0.880592,1.1452, , , ,
NN,YUV420P,NV12,3840x2160,9.438,4.33935,4.463,1.405,0,2.3138,2.02555, , , ,
Lin,YUV420P,UYVY422,1024x576,3.392,0.670656,1.654,0.581,0,0.163463,0.507193, , , ,
Lin,YUV420P,UYVY422,1280x720,4.968,0.804617,1.781,0.642,0,0.24208,0.562537, , , ,
Lin,YUV420P,UYVY422,2560x1440,7.776,2.32623,2.773,0.944,0,1.16538,1.16085, , , ,
Lin,YUV420P,UYVY422,3840x2160,15.839,4.84019,4.471,1.41,0,2.81328,2.02692, , , ,
Lin,YUV420P,YUV422P,1024x576,1.286,0.672831,1.648,0.58,0,0.160382,0.512449, , , ,
Lin,YUV420P,YUV422P,1280x720,1.676,0.807389,1.777,0.639,0,0.227813,0.579576, , , ,
Lin,YUV420P,YUV422P,2560x1440,3.9,2.29622,2.809,0.959,0,1.13294,1.16328, , , ,
Lin,YUV420P,YUV422P,3840x2160,7.131,4.94961,4.46,1.401,0,2.92664,2.02298, , , ,
Lin,YUV420P,YUV420P,1024x576,1.254,0.503779,1.637,0.574,9e-06,0,0.50377, , , ,
Lin,YUV420P,YUV420P,1280x720,1.629,0.555095,1.786,0.65,0,0,0.555095, , , ,
Lin,YUV420P,YUV420P,2560x1440,3.497,1.11305,2.762,0.939,0,0,1.11305, , , ,
Lin,YUV420P,YUV420P,3840x2160,6.21,1.9805,4.452,1.402,0,2.9e-05,1.98047, , , ,
Lin,YUV420P,NV12,1024x576,1.96,0.640643,1.653,0.581,0,0.130711,0.509932, , , ,
Lin,YUV420P,NV12,1280x720,2.749,0.767812,1.814,0.657,0,0.2107,0.557112, , , ,
Lin,YUV420P,NV12,2560x1440,6.186,2.02646,2.774,0.94,0,0.880656,1.1458, , , ,
Lin,YUV420P,NV12,3840x2160,12.229,4.34981,4.468,1.417,0,2.31561,2.0342, , , ,
Cub,YUV420P,UYVY422,1024x576,5.533,0.777538,1.648,0.58,0,0.164838,0.6127, , , ,
Cub,YUV420P,UYVY422,1280x720,7.236,0.989362,1.778,0.645,0,0.260705,0.728657, , , ,
Cub,YUV420P,UYVY422,2560x1440,20.66,3.07471,2.777,0.947,0,1.14079,1.93392, , , ,
Cub,YUV420P,UYVY422,3840x2160,45.012,6.48035,4.464,1.408,0,2.79926,3.68109, , , ,
Cub,YUV420P,YUV422P,1024x576,1.972,0.77485,1.654,0.581,0,0.159047,0.615803, , , ,
Cub,YUV420P,YUV422P,1280x720,2.484,0.992176,1.784,0.642,0,0.264443,0.727733, , , ,
Cub,YUV420P,YUV422P,2560x1440,4.986,3.08752,2.798,0.955,0,1.15349,1.93403, , , ,
Cub,YUV420P,YUV422P,3840x2160,9.638,6.64157,4.481,1.422,0,2.95389,3.68769, , , ,
Cub,YUV420P,YUV420P,1024x576,1.938,0.605625,1.646,0.578,9e-06,0,0.605616, , , ,
Cub,YUV420P,YUV420P,1280x720,2.371,0.718158,1.773,0.636,0,0,0.718158, , , ,
Cub,YUV420P,YUV420P,2560x1440,4.262,1.88943,2.765,0.945,3.8e-05,0,1.88939, , , ,
Cub,YUV420P,YUV420P,3840x2160,8.016,3.6433,4.477,1.435,1.1e-05,3.7e-05,3.64325, , , ,
Cub,YUV420P,NV12,1024x576,3.184,0.744229,1.654,0.584,0,0.13216,0.612069, , , ,
Cub,YUV420P,NV12,1280x720,3.896,0.944313,1.779,0.642,0,0.221984,0.722329, , , ,
Cub,YUV420P,NV12,2560x1440,8.861,2.81215,2.767,0.939,0,0.887886,1.92426, , , ,
Cub,YUV420P,NV12,3840x2160,18.099,5.99859,4.462,1.401,0,2.30949,3.6891, , , ,
NN,NV12,UYVY422,1024x576,1.684,1.09103,1.655,0.581,0.392198,0.157399,0.541429, , , ,
NN,NV12,UYVY422,1280x720,3.079,1.23444,1.798,0.65,0.386609,0.246116,0.601719, , , ,
NN,NV12,UYVY422,2560x1440,7.127,2.82955,2.773,0.936,0.453292,1.18415,1.19211, , , ,
NN,NV12,UYVY422,3840x2160,14.217,5.41654,4.463,1.403,0.491841,2.85542,2.06928, , , ,
NN,NV12,YUV422P,1024x576,1.033,1.10205,1.651,0.58,0.399924,0.165513,0.536611, , , ,
NN,NV12,YUV422P,1280x720,2.035,1.23883,1.782,0.642,0.387164,0.248127,0.603536, , , ,
NN,NV12,YUV422P,2560x1440,3.004,2.83344,2.771,0.934,0.453442,1.18586,1.19414, , , ,
NN,NV12,YUV422P,3840x2160,5.135,5.48868,4.468,1.406,0.495387,2.91485,2.07845, , , ,
NN,NV12,YUV420P,1024x576,0.923,0.942859,1.648,0.579,0.408807,0,0.534052, , , ,
NN,NV12,YUV420P,1280x720,2.433,0.980901,1.779,0.638,0.400654,0,0.580247, , , ,
NN,NV12,YUV420P,2560x1440,2.827,1.55786,2.774,0.939,0.41737,0,1.14049, , , ,
NN,NV12,YUV420P,3840x2160,4.708,2.51186,4.46,1.397,0.466729,0,2.04513, , , ,
NN,NV12,NV12,1024x576,1.285,1.0749,1.649,0.579,0.40184,0.131027,0.542035, , , ,
NN,NV12,NV12,1280x720,3.013,1.18764,1.78,0.639,0.389594,0.206122,0.591926, , , ,
NN,NV12,NV12,2560x1440,5.041,2.5093,2.771,0.941,0.400519,0.948506,1.16027, , , ,
NN,NV12,NV12,3840x2160,9.575,4.86529,4.459,1.398,0.463475,2.3489,2.05291, , , ,
Lin,NV12,UYVY422,1024x576,3.48,1.10024,1.667,0.588,0.407597,0.164856,0.527789, , , ,
Lin,NV12,UYVY422,1280x720,5.063,1.22881,1.781,0.64,0.38597,0.249411,0.593429, , , ,
Lin,NV12,UYVY422,2560x1440,7.886,2.8489,2.77,0.938,0.460269,1.23838,1.15025, , , ,
Lin,NV12,UYVY422,3840x2160,15.987,5.41599,4.458,1.398,0.485918,2.86585,2.06422, , , ,
Lin,NV12,YUV422P,1024x576,1.366,1.10281,1.651,0.579,0.402613,0.16385,0.536352, , , ,
